category_id,title,product_code,qty,price,description,image,image1,image2,image3
14,BA0353,BA0353,1,40392,BANGLE 2026RD=24.90 18KW_59.50G,/BA/BA0353/BA0353-1[PNG1].png,/BA/BA0353/BA0353-1[PNG1].png,/BA/BA0353/BA0353-2[PNG].png,/BA/BA0353/BA0353-3[PNG].png
14,BA0357,BA0357,1,44352,BANGLE 2028RD=23.60 18KW_59.50G,/BA/BA0357/BA0357-1[PNG1].png,/BA/BA0357/BA0357-1[PNG1].png,/BA/BA0357/BA0357-2[PNG].png,/BA/BA0357/BA0357-3[PNG].png
15,BA0360,BA0360,1,23760,BANGLE 106RD=1.69 145BQ=4.29 18KY_38.07G,/BA/BA0360/BA0360-1[PNG1].png,/BA/BA0360/BA0360-1[PNG1].png,/BA/BA0360/BA0360-2[PNG].png,/BA/BA0360/BA0360-3[PNG].png
18,BA0361,BA0361,1,13728,BANGLE 102RD=0.79 216CHAM=5.71 18KW_26.03G,/BA/BA0361/BA0361-1[PNG1].png,/BA/BA0361/BA0361-1[PNG1].png,/BA/BA0361/BA0361-2[PNG].png,/BA/BA0361/BA0361-3[PNG].png
18,BA0362,BA0362,1,14784,BANGLE 102RD=0.82 216BLK=6.60 18KW_23.24G,/BA/BA0362/BA0362-1[PNG1].png,/BA/BA0362/BA0362-1[PNG1].png,/BA/BA0362/BA0362-2[PNG].png,/BA/BA0362/BA0362-3[PNG].png
18,BA0363,BA0363,1,15840,BANGLE 112RD=3.01 100BLK=1.77 18KW_25.32G,/BA/BA0363/BA0363-1[PNG1].png,/BA/BA0363/BA0363-1[PNG1].png,/BA/BA0363/BA0363-2[PNG].png,/BA/BA0363/BA0363-3[PNG].png
14,BA0364,BA0364,1,19113.6,BANGLE 1146RD=8.45 18KW_40.50G,/BA/BA0364/BA0364-1[PNG1].png,/BA/BA0364/BA0364-1[PNG1].png,/BA/BA0364/BA0364-2[PNG].png,/BA/BA0364/BA0364-3[PNG].png
14,BA0365,BA0365,1,47520,BANGLE 388RD=10.25 18KW_58.50G,/BA/BA0365/BA0365-1[PNG1].png,/BA/BA0365/BA0365-1[PNG1].png,/BA/BA0365/BA0365-2[PNG].png,/BA/BA0365/BA0365-3[PNG].png
15,BA0366,BA0366,1,21120,BANGLE 151RD=2.44 170BQ=1.25 18KW_37.90G,/BA/BA0366/BA0366-1[PNG1].png,/BA/BA0366/BA0366-1[PNG1].png,/BA/BA0366/BA0366-2[PNG].png,/BA/BA0366/BA0366-3[PNG].png
21,BA0370,BA0370,1,22302.72,BANGLE 1CEN=0.46 5.80RD 351SAP=11.35 18KW_58.50G,/BA/BA0370/BA0370-1[PNG1].png,/BA/BA0370/BA0370-1[PNG1].png,/BA/BA0370/BA0370-2[PNG].png,/BA/BA0370/BA0370-3[PNG].png
14,BA0371,BA0371,1,60720,1043RD=16.62 1CEN=0.23 18KW_88.00G,/BA/BA0371/BA0371-1[PNG1].png,/BA/BA0371/BA0371-1[PNG1].png,/BA/BA0371/BA0371-2[PNG].png,/BA/BA0371/BA0371-3[PNG].png
14,BA0375,BA0375,1,101904,BANGLE 1371RD=26.55 18KW_55.00G,/BA/BA0375/BA0375-1[PNG1].png,/BA/BA0375/BA0375-1[PNG1].png,/BA/BA0375/BA0375-2[PNG].png,/BA/BA0375/BA0375-3[PNG].png
21,BA0376,BA0376,1,19008,BANGLE 263RD=3.30 211SAP=10.55 18KW_34.50G,/BA/BA0376/BA0376-1[PNG1].png,/BA/BA0376/BA0376-1[PNG1].png,/BA/BA0376/BA0376-2[PNG].png,/BA/BA0376/BA0376-3[PNG].png
